exec_time, invoke_time, access_time, resides_time
424.41, 58.40, 2.21, 404.54
414.27, 50.62, 2.27, 401.54
408.62, 52.01, 2.18, 401.70
410.03, 59.04, 2.28, 404.30
417.84, 53.00, 2.29, 402.25
415.10, 47.67, 2.20, 405.12
416.58, 47.56, 2.20, 401.31
418.07, 54.55, 2.21, 403.32
415.80, 53.25, 2.19, 400.95
397.31, 49.63, 2.31, 403.25
400.14, 52.11, 2.50, 408.05
398.38, 51.06, 2.20, 401.86
418.59, 56.51, 2.24, 418.62
397.64, 52.56, 2.22, 399.21
409.18, 51.58, 2.19, 401.51
403.36, 48.13, 2.23, 402.16
407.45, 47.84, 2.37, 406.78
400.73, 47.02, 2.24, 407.74
426.35, 54.17, 2.31, 409.80
417.01, 56.94, 2.26, 411.54
413.50, 60.71, 2.47, 409.06
429.18, 60.59, 2.26, 407.15
435.56, 62.67, 2.45, 408.07
437.03, 58.23, 2.65, 407.38
412.60, 57.15, 2.34, 412.34
414.25, 56.25, 2.93, 407.54
401.12, 50.73, 2.43, 409.52
405.75, 50.85, 2.52, 408.09
414.37, 53.85, 2.32, 409.76
417.25, 51.08, 2.52, 406.04
403.17, 50.44, 2.27, 403.93
436.03, 53.23, 2.41, 407.97
432.13, 54.05, 2.50, 405.78
415.76, 46.45, 2.25, 423.62
401.29, 51.50, 2.24, 406.88
413.45, 47.00, 2.24, 407.46
415.91, 52.77, 2.48, 411.18
400.66, 49.45, 2.29, 411.28
404.86, 52.18, 2.32, 408.18
414.33, 56.85, 2.40, 409.20
402.08, 46.09, 2.34, 406.45
411.03, 53.66, 2.36, 405.30
419.67, 60.69, 2.45, 406.83
409.32, 51.60, 2.32, 407.78
425.79, 48.92, 2.55, 407.78
422.02, 47.27, 2.49, 406.92
399.68, 47.48, 2.30, 406.76
421.00, 56.73, 2.28, 406.02
421.29, 56.14, 2.23, 410.44
413.75, 53.39, 2.54, 406.63
429.87, 55.58, 2.27, 407.05
404.72, 557.12, 2.37, 920.20
402.68, 46.87, 2.25, 406.88
414.30, 49.26, 2.26, 425.81
398.55, 50.30, 2.22, 408.29
435.95, 48.52, 2.30, 444.78
447.56, 48.28, 2.70, 450.28
439.04, 50.71, 2.42, 422.29
429.24, 57.70, 2.50, 416.81
402.87, 51.43, 2.25, 404.69
399.79, 48.95, 2.32, 405.47
418.15, 56.42, 2.28, 410.12
437.61, 55.93, 2.32, 435.59
424.70, 54.32, 2.30, 403.27
410.62, 46.36, 2.52, 405.18
418.82, 51.67, 2.32, 410.96
399.91, 51.32, 2.40, 404.86
423.37, 58.55, 2.45, 407.35
422.22, 57.45, 2.28, 405.43
396.28, 49.83, 2.34, 403.93
411.37, 52.13, 2.33, 405.80
396.59, 54.67, 2.29, 412.84
423.75, 54.21, 2.34, 406.39
421.11, 49.60, 2.45, 411.61
407.15, 52.16, 2.26, 415.94
418.21, 53.49, 2.22, 405.53
395.47, 47.43, 2.26, 402.22
399.23, 52.54, 2.27, 403.01
429.71, 54.91, 2.30, 401.11
412.03, 53.22, 2.26, 404.51
392.47, 49.59, 2.53, 402.72
412.76, 50.52, 2.26, 401.02
400.93, 50.18, 2.29, 405.82
419.98, 55.68, 2.37, 404.45
406.68, 54.21, 2.36, 397.90
414.03, 52.00, 2.24, 401.82
421.29, 59.01, 2.55, 404.09
413.55, 60.96, 2.22, 403.87
400.51, 48.31, 2.26, 402.70
437.66, 46.99, 2.61, 428.46
413.21, 57.06, 2.24, 406.98
423.47, 56.86, 2.30, 407.80
393.99, 47.79, 2.30, 403.45
420.71, 48.98, 2.52, 409.17
416.68, 60.50, 2.27, 410.69
415.29, 47.60, 2.26, 404.91
426.02, 50.94, 2.50, 413.23
421.25, 55.42, 2.44, 409.10
447.80, 57.48, 2.73, 435.31
450.48, 56.91, 2.39, 432.29
429.69, 49.16, 2.32, 427.24
446.49, 56.07, 2.37, 434.81
425.10, 54.73, 2.67, 429.40
423.70, 50.34, 2.12, 424.80
449.70, 50.58, 2.15, 427.46
422.56, 59.68, 2.47, 407.13
416.22, 51.89, 2.14, 422.99
417.23, 55.30, 2.38, 404.66
434.85, 49.83, 2.06, 433.68
429.08, 53.11, 2.13, 432.33
438.24, 54.63, 2.27, 403.94
395.32, 50.17, 2.29, 403.19
439.76, 54.18, 2.18, 426.03
422.05, 47.11, 2.24, 404.06
405.32, 46.95, 2.24, 407.05
456.56, 63.39, 2.20, 438.24
448.99, 48.83, 2.17, 441.24
418.33, 59.92, 2.61, 405.50
433.32, 52.83, 2.71, 416.56
419.48, 53.86, 2.14, 431.43
440.83, 58.98, 2.12, 429.06
461.66, 65.79, 2.09, 435.67
505.72, 55.43, 2.69, 494.19
485.42, 50.35, 3.60, 460.02
438.14, 48.80, 2.98, 447.14
456.68, 51.17, 2.20, 434.51
432.89, 48.52, 2.31, 431.66
408.97, 56.96, 2.76, 403.76
397.34, 46.74, 2.33, 403.24
451.78, 57.97, 2.14, 439.16
449.13, 57.33, 2.11, 437.65
428.04, 53.41, 2.70, 436.50
432.48, 57.67, 2.20, 435.59
437.51, 54.98, 3.46, 414.99
448.58, 55.32, 2.35, 435.90
399.78, 47.10, 2.70, 404.28
476.46, 59.37, 3.38, 469.25
455.49, 48.73, 2.15, 440.20
437.22, 55.46, 2.18, 423.92
417.67, 61.75, 2.34, 407.71
432.19, 54.81, 2.67, 436.85
438.20, 48.31, 2.42, 434.79
430.77, 50.26, 2.16, 429.85
423.22, 59.80, 3.36, 437.23
420.00, 54.36, 2.38, 406.27
451.28, 56.82, 2.32, 436.42
425.84, 55.44, 2.37, 435.47
426.00, 53.20, 2.30, 434.21
418.48, 54.90, 2.42, 408.13
402.33, 57.05, 2.70, 410.03
426.86, 56.47, 3.10, 407.16
411.32, 50.76, 3.20, 405.28
435.61, 51.56, 2.35, 435.19
449.42, 73.19, 2.11, 445.46
440.70, 54.62, 2.17, 429.88
429.62, 63.16, 2.36, 449.47
448.10, 57.29, 2.26, 439.81
411.72, 48.62, 2.43, 405.31
425.63, 47.57, 2.16, 431.94
439.43, 50.79, 3.03, 430.55
418.00, 53.12, 2.16, 425.10
443.92, 56.34, 2.41, 425.28
423.11, 51.98, 2.36, 425.05
453.17, 52.00, 2.37, 436.08
437.07, 48.39, 2.14, 432.56
440.54, 53.01, 2.51, 437.97
417.11, 53.13, 2.12, 426.78
418.54, 52.67, 2.48, 429.76
439.17, 56.31, 2.08, 415.85
425.42, 52.95, 2.11, 433.74
454.21, 63.46, 2.21, 439.70
431.17, 50.63, 2.29, 436.88
431.81, 49.39, 2.12, 437.90
474.32, 66.01, 2.32, 441.45
440.67, 561.98, 2.23, 935.42
423.58, 57.28, 2.55, 420.26
471.29, 55.23, 2.38, 453.82
473.05, 54.08, 2.18, 433.07
408.26, 48.36, 2.38, 407.71
439.80, 47.30, 2.38, 430.31
449.03, 64.54, 2.16, 436.08
442.76, 54.94, 2.84, 434.81
442.19, 54.40, 2.43, 433.84
419.01, 51.40, 2.45, 426.91
460.59, 59.71, 2.33, 435.71
410.12, 46.34, 3.04, 404.14
505.00, 57.72, 2.28, 485.74
442.84, 51.02, 2.96, 446.70
458.92, 56.77, 2.18, 446.26
421.06, 50.45, 3.44, 409.85
476.87, 54.29, 2.60, 477.36
499.06, 51.22, 3.17, 486.74
442.78, 54.49, 2.29, 443.16
459.14, 58.76, 2.31, 439.17
426.48, 49.95, 2.12, 434.94
402.05, 50.82, 2.32, 407.90
435.20, 49.51, 2.32, 442.40
441.11, 62.07, 2.20, 431.02
462.35, 62.77, 2.40, 436.20
443.64, 54.71, 2.12, 434.52
438.85, 58.69, 2.88, 435.00
443.54, 55.17, 2.19, 437.02
430.79, 55.08, 2.60, 443.17
425.83, 54.00, 2.28, 426.97
446.59, 58.37, 3.18, 447.90
440.27, 48.48, 2.19, 434.20
446.73, 56.86, 2.60, 430.16
433.12, 47.37, 2.32, 430.48
431.52, 51.40, 2.16, 432.23
425.15, 51.08, 3.16, 428.94
464.93, 64.20, 2.15, 439.39
451.15, 55.40, 2.29, 437.45
452.83, 57.77, 2.46, 430.79
454.02, 63.21, 3.56, 438.41
427.43, 47.47, 2.09, 430.57
448.88, 61.79, 2.79, 438.66
437.13, 49.39, 2.24, 438.62
425.02, 55.94, 2.79, 431.46
431.63, 54.92, 2.24, 432.29
448.78, 56.30, 2.12, 433.75
447.32, 61.01, 2.08, 434.19
452.28, 52.90, 2.34, 433.60
445.34, 60.62, 2.17, 433.89
426.88, 50.76, 3.62, 435.94
438.92, 54.64, 2.16, 439.22
421.98, 52.08, 2.25, 429.96
460.12, 56.88, 2.22, 440.50
425.43, 52.23, 2.15, 432.20
442.34, 59.26, 2.32, 411.21
425.69, 52.81, 2.20, 434.88
422.77, 48.78, 2.17, 433.00
452.47, 66.50, 3.11, 444.38
444.71, 53.32, 3.07, 431.33
444.25, 52.36, 2.56, 436.84
429.58, 50.08, 2.23, 435.01
427.93, 56.48, 2.47, 433.73
414.90, 50.85, 2.74, 422.31
437.75, 55.63, 2.30, 431.09
432.17, 54.37, 2.32, 437.24
404.84, 53.75, 2.38, 409.92
440.35, 59.05, 2.99, 429.89
445.95, 55.44, 2.37, 431.65
435.81, 53.18, 2.81, 436.56
412.20, 58.09, 2.47, 403.79
413.46, 46.38, 2.35, 407.78
428.91, 48.91, 2.34, 404.63
454.38, 57.32, 2.10, 435.36
450.74, 49.17, 2.75, 426.74
448.54, 51.68, 2.44, 439.14
435.84, 53.38, 2.38, 446.38
438.22, 55.14, 2.13, 436.87
457.89, 55.59, 2.15, 435.07
429.94, 49.36, 2.13, 421.97
436.50, 45.01, 2.16, 435.30
425.38, 52.34, 2.11, 432.56
464.18, 54.91, 2.94, 435.57
439.10, 49.78, 2.41, 449.04
432.36, 53.76, 2.08, 436.57
450.18, 57.02, 2.17, 437.06
437.44, 59.23, 3.61, 434.67
429.60, 51.90, 3.30, 435.36
462.48, 56.14, 2.22, 436.57
